# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, cam_used[0], cam_used[1], level0_avg_total_rows
1618223074.241976738, 0.000000041, 0.000000082, 0.000000174, 0.000000572, 0.000000649, 0.000001478, 0.000000041, 0.000000082, 0.000000174, 0.000000572, 0.000000649, 0.000001478, 1, 1, 87.000000000
1618223074.275309801, 0.000000097, 0.000000128, 0.000000258, 0.000000913, 0.000001019, 0.000001442, 0.000000097, 0.000000128, 0.000000258, 0.000000913, 0.000001019, 0.000001442, 1, 1, 93.000000000
1618223074.308642626, 0.000000070, 0.000000103, 0.000000149, 0.000000563, 0.000001062, 0.000001454, 0.000000070, 0.000000103, 0.000000149, 0.000000563, 0.000001062, 0.000001454, 1, 1, 97.000000000
1618223074.341975451, 0.000000035, 0.000000085, 0.000000097, 0.000000601, 0.000001011, 0.000001432, 0.000000035, 0.000000085, 0.000000097, 0.000000601, 0.000001011, 0.000001432, 1, 1, 107.000000000
1618223074.408641338, 0.000000024, 0.000000034, 0.000000050, 0.000000323, 0.000000384, 0.000000703, 0.000000024, 0.000000034, 0.000000050, 0.000000323, 0.000000384, 0.000000703, 1, 1, 107.000000000
1618223074.441974163, 0.000000030, 0.000000065, 0.000000076, 0.000000450, 0.000000567, 0.000000911, 0.000000030, 0.000000065, 0.000000076, 0.000000450, 0.000000567, 0.000000911, 1, 1, 125.000000000
1618223074.475306988, 0.000000067, 0.000000076, 0.000000088, 0.000000660, 0.000000817, 0.000000917, 0.000000067, 0.000000076, 0.000000088, 0.000000660, 0.000000817, 0.000000917, 1, 1, 122.000000000
1618223074.508640051, 0.000000072, 0.000000147, 0.000000160, 0.000000543, 0.000001029, 0.000001295, 0.000000072, 0.000000147, 0.000000160, 0.000000543, 0.000001029, 0.000001295, 1, 1, 104.000000000
1618223074.541972876, 0.000000043, 0.000000103, 0.000000289, 0.000000760, 0.000001083, 0.000001795, 0.000000043, 0.000000103, 0.000000289, 0.000000760, 0.000001083, 0.000001795, 1, 1, 102.000000000
1618223074.608638763, 0.000000028, 0.000000059, 0.000000096, 0.000000382, 0.000000585, 0.000001372, 0.000000028, 0.000000059, 0.000000096, 0.000000382, 0.000000585, 0.000001372, 1, 1, 102.000000000
1618223074.641971588, 0.000000036, 0.000000074, 0.000000125, 0.000000553, 0.000000647, 0.000001409, 0.000000036, 0.000000074, 0.000000125, 0.000000553, 0.000000647, 0.000001409, 1, 1, 114.000000000
1618223074.675304413, 0.000000115, 0.000000132, 0.000000228, 0.000000931, 0.000001038, 0.000001466, 0.000000115, 0.000000132, 0.000000228, 0.000000931, 0.000001038, 0.000001466, 1, 1, 120.000000000
1618223074.708637476, 0.000000103, 0.000000189, 0.000000287, 0.000000871, 0.000001260, 0.000001918, 0.000000103, 0.000000189, 0.000000287, 0.000000871, 0.000001260, 0.000001918, 1, 1, 100.000000000
1618223074.741970301, 0.000000057, 0.000000119, 0.000000324, 0.000001011, 0.000001226, 0.000002453, 0.000000057, 0.000000119, 0.000000324, 0.000001011, 0.000001226, 0.000002453, 1, 1, 82.000000000
1618223074.775303125, 0.000000138, 0.000000165, 0.000000469, 0.000001420, 0.000001622, 0.000002502, 0.000000138, 0.000000165, 0.000000469, 0.000001420, 0.000001622, 0.000002502, 1, 0, 36.000000000
1618223074.841969013, 0.000000056, 0.000000198, 0.000000327, 0.000000718, 0.000000940, 0.000002667, 0.000000056, 0.000000198, 0.000000327, 0.000000718, 0.000000940, 0.000002667, 1, 1, 47.000000000
1618223074.875301838, 0.000000137, 0.000000240, 0.000000267, 0.000001016, 0.000001195, 0.000002047, 0.000000137, 0.000000240, 0.000000267, 0.000001016, 0.000001195, 0.000002047, 1, 1, 45.000000000
1618223074.908634901, 0.000000193, 0.000000264, 0.000000385, 0.000000667, 0.000001604, 0.000002321, 0.000000193, 0.000000264, 0.000000385, 0.000000667, 0.000001604, 0.000002321, 1, 1, 34.000000000
1618223074.941967726, 0.000000293, 0.000000717, 0.000000741, 0.000000987, 0.000002191, 0.000003188, 0.000000293, 0.000000717, 0.000000741, 0.000000987, 0.000002191, 0.000003188, 1, 1, 36.000000000
1618223075.008633614, 0.000000201, 0.000000264, 0.000000354, 0.000001255, 0.000002081, 0.000004029, 0.000000201, 0.000000264, 0.000000354, 0.000001255, 0.000002081, 0.000004029, 1, 1, 37.000000000
1618223075.041966438, 0.000000242, 0.000000559, 0.000000717, 0.000001443, 0.000002306, 0.000004629, 0.000000242, 0.000000559, 0.000000717, 0.000001443, 0.000002306, 0.000004629, 1, 1, 44.000000000
1618223075.075299501, 0.000000129, 0.000000426, 0.000000460, 0.000001667, 0.000002571, 0.000002896, 0.000000129, 0.000000426, 0.000000460, 0.000001667, 0.000002571, 0.000002896, 1, 1, 45.000000000
1618223075.108632326, 0.000000216, 0.000000228, 0.000000354, 0.000001058, 0.000002349, 0.000002917, 0.000000216, 0.000000228, 0.000000354, 0.000001058, 0.000002349, 0.000002917, 1, 1, 56.000000000
1618223075.175298214, 0.000000076, 0.000000163, 0.000000208, 0.000001066, 0.000001354, 0.000002499, 0.000000076, 0.000000163, 0.000000208, 0.000001066, 0.000001354, 0.000002499, 1, 1, 68.000000000
1618223075.208631039, 0.000000241, 0.000000256, 0.000000322, 0.000001072, 0.000001447, 0.000002784, 0.000000241, 0.000000256, 0.000000322, 0.000001072, 0.000001447, 0.000002784, 1, 1, 73.000000000
1618223075.241964102, 0.000000124, 0.000000276, 0.000000397, 0.000001471, 0.000001749, 0.000003387, 0.000000124, 0.000000276, 0.000000397, 0.000001471, 0.000001749, 0.000003387, 1, 1, 84.000000000
1618223075.275296926, 0.000000206, 0.000000223, 0.000000291, 0.000001763, 0.000002098, 0.000002542, 0.000000206, 0.000000223, 0.000000291, 0.000001763, 0.000002098, 0.000002542, 1, 1, 98.000000000
