# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, cam_used[0], cam_used[1], cam_used[2], cam_used[3], level0_avg_total_rows
1646305741.202365160, 0.000000001, 0.000000003, 0.000000006, 0.000000549, 0.000000617, 0.000003275, 0.000000001, 0.000000003, 0.000000005, 0.000000495, 0.000000575, 0.000002720, 1, 1, 1, 1, 36.000000000
1646305741.527352333, 0.000000001, 0.000000002, 0.000000004, 0.000000431, 0.000000482, 0.000002319, 0.000000001, 0.000000002, 0.000000004, 0.000000307, 0.000000410, 0.000001752, 1, 1, 1, 1, 66.000000000
1646305742.027332544, 0.000000000, 0.000000001, 0.000000001, 0.000000026, 0.000000075, 0.000000106, 0.000000000, 0.000000001, 0.000000001, 0.000000026, 0.000000073, 0.000000104, 1, 1, 1, 1, 84.000000000
1646305742.352319717, 0.000000000, 0.000000002, 0.000000002, 0.000000049, 0.000000149, 0.000000227, 0.000000000, 0.000000002, 0.000000002, 0.000000047, 0.000000137, 0.000000213, 1, 1, 1, 1, 97.000000000
1646305742.877299070, 0.000000000, 0.000000001, 0.000000001, 0.000000027, 0.000000081, 0.000000125, 0.000000000, 0.000000001, 0.000000001, 0.000000027, 0.000000077, 0.000000121, 1, 1, 1, 1, 97.000000000
1646305743.402271032, 0.000000001, 0.000000002, 0.000000003, 0.000000386, 0.000000473, 0.000004234, 0.000000001, 0.000000002, 0.000000003, 0.000000340, 0.000000437, 0.000003173, 1, 1, 1, 1, 77.000000000
1646305743.577263832, 0.000000001, 0.000000003, 0.000000005, 0.000000494, 0.000000622, 0.000004395, 0.000000001, 0.000000003, 0.000000005, 0.000000483, 0.000000594, 0.000004276, 0, 1, 1, 1, 57.000000000
1646305744.552223921, 0.000000000, 0.000000002, 0.000000002, 0.000000266, 0.000000373, 0.000002290, 0.000000000, 0.000000002, 0.000000002, 0.000000265, 0.000000370, 0.000002276, 0, 1, 1, 1, 57.000000000
1646305744.952207565, 0.000000000, 0.000000001, 0.000000001, 0.000000038, 0.000000108, 0.000000225, 0.000000000, 0.000000001, 0.000000001, 0.000000037, 0.000000105, 0.000000208, 1, 1, 1, 1, 89.000000000
1646305745.077202320, 0.000000001, 0.000000004, 0.000000005, 0.000000131, 0.000000391, 0.000000714, 0.000000001, 0.000000004, 0.000000005, 0.000000125, 0.000000364, 0.000000590, 1, 1, 1, 1, 96.000000000
1646305745.377190113, 0.000000001, 0.000000005, 0.000000008, 0.000000516, 0.000000791, 0.000003300, 0.000000001, 0.000000005, 0.000000007, 0.000000444, 0.000000669, 0.000001962, 1, 1, 1, 1, 79.000000000
1646305745.552182913, 0.000000004, 0.000000008, 0.000000015, 0.000000714, 0.000000791, 0.000001623, 0.000000004, 0.000000008, 0.000000014, 0.000000525, 0.000000565, 0.000001265, 1, 1, 1, 1, 112.000000000
1646305745.952166319, 0.000000001, 0.000000002, 0.000000004, 0.000000050, 0.000000152, 0.000000287, 0.000000001, 0.000000002, 0.000000004, 0.000000050, 0.000000151, 0.000000287, 1, 1, 1, 1, 37.000000000
1646305746.952125311, 0.000000000, 0.000000001, 0.000000001, 0.000000019, 0.000000049, 0.000000095, 0.000000000, 0.000000001, 0.000000001, 0.000000019, 0.000000049, 0.000000095, 1, 1, 1, 1, 51.000000000
1646305747.777094364, 0.000000001, 0.000000002, 0.000000002, 0.000000105, 0.000000197, 0.000000396, 0.000000001, 0.000000002, 0.000000002, 0.000000099, 0.000000194, 0.000000383, 1, 1, 1, 1, 81.000000000
1646305748.002085209, 0.000000003, 0.000000004, 0.000000005, 0.000000254, 0.000000330, 0.000000869, 0.000000003, 0.000000004, 0.000000005, 0.000000250, 0.000000324, 0.000000846, 1, 1, 1, 1, 80.000000000
1646305748.102081060, 0.000000003, 0.000000004, 0.000000005, 0.000000176, 0.000000189, 0.000000592, 0.000000003, 0.000000004, 0.000000005, 0.000000176, 0.000000187, 0.000000586, 0, 1, 1, 1, 67.000000000
1646305749.152037859, 0.000000000, 0.000000000, 0.000000001, 0.000000015, 0.000000017, 0.000000084, 0.000000000, 0.000000000, 0.000000001, 0.000000015, 0.000000017, 0.000000084, 1, 1, 1, 1, 42.000000000
1646305749.902007103, 0.000000001, 0.000000003, 0.000000005, 0.000000232, 0.000000242, 0.000000582, 0.000000001, 0.000000003, 0.000000005, 0.000000230, 0.000000237, 0.000000572, 1, 1, 1, 1, 65.000000000
1646305750.551980495, 0.000000001, 0.000000002, 0.000000003, 0.000000031, 0.000000082, 0.000000306, 0.000000001, 0.000000002, 0.000000003, 0.000000031, 0.000000081, 0.000000299, 1, 1, 1, 1, 68.000000000
1646305750.801970243, 0.000000005, 0.000000012, 0.000000026, 0.000000566, 0.000000835, 0.000002230, 0.000000005, 0.000000012, 0.000000026, 0.000000547, 0.000000829, 0.000002150, 1, 1, 1, 1, 93.000000000
1646305751.101965666, 0.000000002, 0.000000004, 0.000000006, 0.000000062, 0.000000104, 0.000000559, 0.000000002, 0.000000004, 0.000000006, 0.000000062, 0.000000104, 0.000000543, 1, 1, 1, 1, 77.000000000
1646305751.401954174, 0.000000002, 0.000000008, 0.000000009, 0.000000080, 0.000000121, 0.000000980, 0.000000002, 0.000000008, 0.000000009, 0.000000080, 0.000000120, 0.000000947, 1, 1, 1, 1, 100.000000000
1646305751.601946354, 0.000000003, 0.000000010, 0.000000012, 0.000000109, 0.000000184, 0.000001385, 0.000000003, 0.000000010, 0.000000011, 0.000000109, 0.000000177, 0.000001219, 1, 1, 1, 1, 135.000000000
