# time(s), cam_used[0], cam_used[1], cam_used[2], cam_used[3], cam_rows[0], cam_rows[1], cam_rows[2], cam_rows[3], cam_sol[0][0], cam_sol[0][1], cam_sol[0][2], cam_sol[0][3], cam_sol[0][4], cam_sol[0][5], cam_sol[0][6], cam_sol[1][0], cam_sol[1][1], cam_sol[1][2], cam_sol[1][3], cam_sol[1][4], cam_sol[1][5], cam_sol[1][6], cam_sol[2][0], cam_sol[2][1], cam_sol[2][2], cam_sol[2][3], cam_sol[2][4], cam_sol[2][5], cam_sol[2][6], cam_sol[3][0], cam_sol[3][1], cam_sol[3][2], cam_sol[3][3], cam_sol[3][4], cam_sol[3][5], cam_sol[3][6], level0_avg_total_rows
1646305722.6781158, 0, 1, 1, 1, 0, 4736, 1856, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000027, -0.0000089, 0.0000071, -0.0000364, 0.0001618, 0.0000417, 0.0030354, 0.0000002, 0.0000078, -0.0000022, 0.0000284, -0.0000556, 0.0000708, -0.0016300, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 103.0000000
1646305722.8031111, 1, 1, 1, 1, 448, 4864, 2048, 0, -0.0000003, -0.0000014, 0.0000007, -0.0000048, 0.0000093, -0.0000176, -0.0012021, -0.0000019, -0.0000060, 0.0000070, -0.0000318, 0.0001250, 0.0000161, 0.0048943, 0.0000001, 0.0000068, -0.0000015, 0.0000171, -0.0000446, 0.0000651, -0.0034037, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 115.0000000
1646305723.0031035, 0, 1, 1, 1, 0, 4864, 1024, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000026, -0.0000038, 0.0000067, -0.0000384, 0.0002222, 0.0000446, 0.0008125, 0.0000004, 0.0000001, 0.0000000, 0.0000057, -0.0000352, -0.0000141, 0.0014509, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 92.0000000
1646305723.1780970, 0, 1, 1, 1, 0, 5056, 1984, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000032, -0.0000084, 0.0000084, -0.0000551, 0.0002107, 0.0000230, 0.0043632, -0.0000002, 0.0000077, -0.0000016, 0.0000150, -0.0000476, 0.0000726, -0.0044300, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 110.0000000
1646305723.3030922, 1, 1, 1, 0, 576, 5056, 0, 0, -0.0000005, -0.0000031, 0.0000015, -0.0000090, 0.0000160, -0.0000343, -0.0031278, -0.0000033, -0.0000078, 0.0000089, -0.0000495, 0.0002268, 0.0000229, 0.0045500, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 88.0000000
1646305723.5030844, 0, 1, 1, 1, 0, 4736, 640, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000015, -0.0000021, 0.0000013, -0.0000385, 0.0000862, 0.0000437, 0.0019080, -0.0000000, -0.0000009, 0.0000004, -0.0000057, -0.0000047, -0.0000054, -0.0032571, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 84.0000000
1646305723.5530827, 0, 1, 1, 0, 0, 4800, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000017, -0.0000083, 0.0000155, -0.0000786, 0.0002175, 0.0000706, 0.0039326, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 75.0000000
1646305723.7780740, 0, 1, 1, 1, 0, 4992, 1408, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000027, -0.0000071, 0.0000071, -0.0000479, 0.0001927, 0.0000135, 0.0050345, -0.0000011, -0.0000102, 0.0000027, -0.0000744, 0.0001203, -0.0000518, -0.0045355, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 100.0000000
1646305723.8530712, 0, 1, 1, 1, 0, 4288, 960, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000032, 0.0000016, -0.0000019, 0.0000075, -0.0000054, 0.0000274, -0.0029253, -0.0000004, -0.0000035, 0.0000001, -0.0000095, 0.0000120, -0.0000194, 0.0009435, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 82.0000000
1646305724.0780592, 1, 1, 1, 0, 192, 4416, 0, 0, 0.0000000, 0.0000001, -0.0000002, 0.0000015, -0.0000027, -0.0000000, 0.0001845, 0.0000004, 0.0000011, -0.0000025, 0.0000220, -0.0000307, -0.0000160, -0.0009487, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 72.0000000
1646305724.3030508, 1, 1, 1, 1, 64, 2368, 512, 0, 0.0000000, 0.0000000, -0.0000000, 0.0000000, -0.0000000, 0.0000000, -0.0000002, 0.0000008, -0.0000003, -0.0000009, 0.0000053, -0.0000113, 0.0000036, -0.0027269, -0.0000002, -0.0000003, 0.0000003, 0.0000002, 0.0000023, -0.0000005, 0.0017033, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 46.0000000
1646305724.5530412, 0, 1, 1, 1, 0, 1664, 320, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000000, -0.0000002, 0.0000015, -0.0000030, 0.0000002, -0.0007252, 0.0000000, 0.0000000, -0.0000000, -0.0000001, 0.0000000, 0.0000000, -0.0003241, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 31.0000000
1646305724.6030393, 0, 1, 1, 0, 0, 1600, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000010, -0.0000010, 0.0000005, 0.0000001, 0.0000020, 0.0000001, 0.0008439, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 25.0000000
1646305724.6530373, 0, 1, 1, 0, 0, 1984, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000002, 0.0000004, 0.0000003, 0.0000003, 0.0000010, -0.0000032, 0.0000773, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 31.0000000
